Number,File Name,Member,Duration,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,LPC_1,LPC_2,LPC_3,LPC_4,LPC_5,LPC_6,LPC_7,LPC_8,LPC_9,LPC_10,LPC_11,LPC_12,DCT_1,DCT_2,DCT_3,DCT_4,DCT_5,DCT_6,DCT_7,DCT_8,DCT_9,DCT_10,DCT_11,DCT_12,DCT_13,Fluency Label
1,242s24,student,5.426984126984127,-384.19864,158.9576,19.165249,8.343511,-13.824618,5.6992426,-15.2272005,-16.766716,-8.019847,-11.842641,-3.9837818,-5.8042426,-14.446263,-1.933063,1.2767707,-0.8301997,0.79329634,-0.16315232,0.06663552,-0.2933368,0.15119398,-0.1824861,0.16194762,-0.003057214,0.0040945057,-0.001003535,-0.000852412,-0.0011634552,-0.00072741346,0.0015017361,-0.0017129392,-0.00084561796,0.0018037877,-0.00027828867,-0.00069047115,-0.0013678484,-0.00078916317,0.0020875041,1
2,242s27,student,7.02,-348.29248,130.71005,6.574482,9.017096,-10.1076565,-4.954451,-18.342142,-15.810919,-6.9282017,-6.9373546,-9.69781,-4.7574196,-9.346794,-1.7476823,1.0109591,-0.40954933,0.51550645,-0.80637383,1.0037388,-0.504551,-0.21888247,0.102306716,0.30836686,-0.2602783,0.09512044,0.0013172496,4.5458593e-05,-1.9846666e-05,-0.0008670776,-0.0009695353,-0.00022825728,-0.00041019227,-0.0014833494,0.0009180439,0.00067819573,0.0015003918,0.0003383808,0.00031970922,1
3,242s5,student,16.25700680272109,-382.08047,134.74484,22.727901,9.789217,-12.864197,1.3050324,-13.247132,-9.347233,-6.9444675,-11.852326,-3.42243,-6.507234,-9.488844,-1.3487717,0.31428272,-0.082352705,0.24557708,-0.3520683,0.42931727,-0.10533519,-0.061815545,-0.10158296,0.20781076,-0.06979448,-0.007962549,-9.527505e-06,-0.0021109178,0.001936814,0.0010286102,0.00092001096,0.0014413858,-0.0021881198,0.0010136699,-0.0019309793,-0.00017470046,-0.0009393835,0.0015952896,0.0017119731,1
4,242s15,student,7.030022675736961,-297.04462,130.28413,1.7966963,25.74711,-14.831176,-10.437139,-25.325157,-15.64418,-5.452566,-14.505216,-11.928582,-4.5473804,-12.472381,-1.8261847,1.3547908,-0.89742863,0.7897044,-0.81679165,0.75560576,-0.38677204,0.0704759,-0.20328082,0.394993,-0.16868715,0.006256122,-0.00089805986,-0.0013438939,0.002596831,-7.688634e-05,-0.0012924002,0.0016971242,-0.0004428199,6.3821644e-05,0.0019336079,0.003081982,0.0012945565,-0.0023519332,0.00026109634,0
5,242s10,student,12.218004535147392,-346.24173,128.65617,0.6831818,19.769281,-12.44668,-6.2456017,-21.685139,-16.773235,-3.7823193,-8.075667,-8.718407,-7.4512286,-9.775731,-1.777185,1.2451862,-0.80672324,0.87274253,-0.9774457,0.7959956,-0.4605969,0.24041158,-0.24330297,0.310286,-0.21037067,0.098633416,-0.0023750125,-0.0007239294,0.002756681,0.0011769041,-0.00024306227,-0.00039117844,0.00083024707,0.0006313394,-0.0010293783,-3.4693876e-05,-0.0005158235,0.00088299694,-0.00079132844,0
6,242s22,student,16.083038548752835,-373.21072,147.66206,17.627665,6.0173664,-22.432913,2.7573028,-9.364143,-16.644073,-7.902327,-13.026118,-6.333378,-4.9329166,-11.081345,-2.5364609,2.9595866,-2.5310025,1.7993089,-1.1537598,1.014334,-0.74852,0.23059067,0.03855017,-0.085434146,0.024065547,0.027899276,-0.0018136444,0.0036230925,-0.0013110277,0.0013967678,-0.0020267935,-0.0004530376,-0.0027550915,0.0018519321,-0.0018298335,0.0017135312,-0.00040092404,0.0014410339,-0.0019735731,0
7,242s34,student,9.414013605442177,-326.24872,128.86691,-1.2898517,17.071144,-16.167189,-8.087404,-17.454906,-22.046883,-9.198143,-8.630161,-10.70249,-7.0301127,-8.345575,-1.8881398,1.3164558,-0.74821895,0.7895571,-0.97530115,0.98196656,-0.49266168,0.1113441,-0.16652372,0.16366088,-0.030194692,0.013443474,0.0031855851,0.0028807083,-0.0014199858,-0.0004678997,-0.00013908694,-0.0012875412,-0.0019526286,-0.0015351827,0.0018999535,0.00072014634,-0.0015170579,-0.0015951255,-0.0005794077,0
8,242s39,student,14.20498866213152,-304.4118,132.29897,-5.553303,16.753372,-0.034383345,-18.893272,-20.116268,-13.212652,-14.68231,-10.171961,-12.149685,-5.7964716,-10.314678,-1.6399956,0.70432335,0.002050968,0.42597705,-0.89114976,0.40936637,0.10390097,0.03981809,-0.28528637,0.22822788,-0.023915077,0.007131819,-0.002460068,-0.0019287337,-0.0030116513,-0.0002132681,-0.00028277142,0.00085195986,0.0015227109,-0.0014024948,-0.00089179515,0.0005536224,0.0011377328,-0.0026284675,0.0034335456,1
9,242s31,student,9.42,-272.94778,132.42789,-15.7801075,12.736522,-12.66136,-3.1149807,-25.485617,-19.379,-3.4215784,-6.8674192,-14.032551,-8.878452,-10.163608,-2.0892818,1.6574382,-0.7514779,0.49409875,-0.5425193,0.5931933,-0.47378454,0.14656872,-0.02105226,0.11272007,-0.111670166,0.06406181,-0.00019123698,0.0030377738,-0.0011221892,6.8013076e-05,0.002065532,-0.00030964357,-0.0015603986,-0.0019602776,-0.0024988358,-0.0024478855,0.00023222747,0.0017275661,0.0005377533,0
10,242s9,student,19.70698412698413,-315.59247,125.766655,-2.1864235,22.880394,-13.288041,-11.17384,-18.749714,-16.03069,-7.857877,-8.420952,-7.013436,-7.1242723,-9.969812,-1.893162,1.406317,-0.92955065,1.0569689,-1.180315,0.89180976,-0.47289962,0.33398223,-0.38497597,0.44277105,-0.28305116,0.0855176,0.00039196544,-0.002189591,-0.002441282,0.0009231989,0.00013193497,0.00019584066,0.0041595073,-0.0038180463,-0.002096444,0.00071891636,-0.00019825014,-0.00076657475,0.0031878417,0
11,242s28,student,36.59968253968254,-329.06842,123.57769,8.110763,22.970825,-18.928633,-3.337729,-16.797178,-16.77761,-7.354242,-11.89723,-7.383975,-6.913735,-10.077254,-1.9116496,1.4991211,-1.0344354,0.9111649,-0.8339446,0.8145672,-0.5744945,0.2984772,-0.39386195,0.5475357,-0.39537594,0.14603713,0.00032332708,0.004711725,0.0009368502,-0.0011349717,-0.0015525478,-0.0018379136,-0.001718676,-0.0022696585,0.00049886166,0.0028639673,-0.001613078,0.004004543,-0.0006438907,0
12,242s6,student,22.650975056689344,-311.4458,128.78922,-0.85253847,24.2338,-16.45267,-4.321727,-20.975948,-14.521624,-6.021727,-17.590643,-1.8827024,-5.341976,-12.867295,-1.808922,1.2605058,-0.7890718,0.64040214,-0.47298443,0.44772586,-0.39558807,0.19193417,-0.14152679,0.31721365,-0.23301618,0.057500634,0.0005099182,0.000337335,0.001825724,-0.0019626573,-0.0033620424,0.002263477,-0.00045592335,-0.0014864267,0.0009854829,0.002466683,-0.0019407445,0.00020980867,0.0013722463,0
13,242s25,student,24.441995464852607,-375.4542,137.98834,5.850659,7.1857653,-7.2107644,-6.9790487,-14.281401,-11.988731,-6.4593544,-10.488626,-6.5984526,-5.0728836,-10.296767,-1.7023923,0.66832435,0.39148253,-0.15333182,-0.54179937,0.5788469,-0.14284022,-0.05406026,-0.11702043,0.31189227,-0.29238278,0.14362726,0.0023795853,-0.001445441,0.00040187777,0.001352648,0.00018909815,0.00036284555,-0.0013865274,0.0012573657,7.476796e-05,0.00032697123,0.001520264,-0.0024219593,0.00023831343,1
14,242s37,student,46.67197278911565,-310.34445,128.15918,-8.151317,19.584305,-5.128213,-15.604553,-16.357641,-15.119763,-11.646946,-11.031762,-10.524659,-5.3055644,-11.221023,-1.905509,1.230446,-0.2726956,0.26571348,-0.7618386,0.71864647,-0.19780672,-0.0019813422,-0.2051207,0.37200657,-0.2560054,0.08929009,0.00083718606,2.546833e-05,-0.0017964239,0.00034258497,-0.0019227085,-6.97996e-05,-0.0019401745,0.0012190666,0.0014378745,0.002692984,-0.0034926352,0.004160867,-0.0011180444,0
15,242s17,student,7.238049886621315,-261.3236,139.38567,-21.284546,32.534477,-24.054096,-0.15712385,-22.793058,-20.80884,-3.7328997,-17.296356,-9.607397,-7.514946,-12.216995,-2.1393561,1.9466755,-1.2875059,0.79122514,-0.51934916,0.50303507,-0.32913363,-0.05209056,0.12758033,0.0431037,-0.07888077,0.043269712,-0.0019467422,0.0022882472,-0.0041577173,0.0055436166,-0.0025765907,0.0023971715,-0.0021394144,0.0036286225,0.00013100635,0.0011456944,-0.002692198,0.0023950126,0.00047151968,0
16,242s29,student,3.586984126984127,-428.10718,160.98943,24.101374,12.689924,-21.63291,4.722883,-12.215279,-12.357224,-2.4406683,-7.899983,-10.174118,-5.3962007,-9.944168,-2.5723503,2.9843874,-2.2807243,1.1310638,-0.30098,0.2809542,-0.521987,0.46330965,-0.24947938,0.116405904,0.018065147,-0.04772431,-0.000468546,-0.00047889093,0.00019226805,-0.00039552257,0.0005388787,0.00039179914,0.0013340174,3.222907e-05,-0.0012905973,-0.00052253966,0.000852325,-7.831665e-05,-0.00044593573,0
17,242s8,student,7.7050340136054425,-385.27817,138.31584,22.190226,9.487239,-16.81339,6.3509007,-13.86569,-13.199889,-7.8805676,-11.574435,-2.8003182,-8.013311,-12.015137,-1.5661976,0.6389909,-0.1124053,0.16629988,-0.3208913,0.49399358,-0.45214984,0.28525168,-0.080582164,0.11077249,-0.22875512,0.14028868,-0.0026647856,-0.001387526,-0.0020111492,-0.0008190555,-0.00091200834,-0.0013459219,-0.00092802447,-0.00092084694,0.0010083818,0.0008240418,-0.0004570856,-0.001720252,-0.0038070036,1
18,242s23,student,5.7299773242630385,-410.16428,141.537,18.252895,-2.0025814,-7.860138,2.137673,-17.73666,-11.705797,-2.2956076,-12.426622,-10.009939,-6.2888727,-11.401256,-1.7632135,1.1425685,-1.0856068,1.1678632,-0.7198908,0.73398644,-0.58373886,0.113651864,-0.09097266,0.10144404,0.03970284,-0.010628959,-0.0005692249,-0.00049561576,-0.0018964258,0.00018128552,0.00060366665,-0.0008729076,-0.0013568527,0.00016346389,0.00070952944,-0.0017085762,-0.0014121775,0.0016130493,-9.874053e-05,1
19,242s7,student,6.011020408163265,-439.10178,153.25406,28.92515,0.05404521,-13.1621895,12.840483,-16.158535,-7.7024093,-10.749888,-8.868664,-1.7308546,-7.524646,-10.188711,-2.1102808,1.914711,-1.7871159,1.6392075,-0.93809634,0.82006425,-0.8315256,0.3832518,-0.23020446,0.25192547,-0.0755158,-0.0059821713,0.0018852211,0.0013305959,0.0014793079,-0.0021837759,-0.0015797557,-0.001636717,-0.0017031255,-0.0019681281,0.00097089907,0.002089929,0.0010373169,0.0010771378,0.0014860773,0
20,242s11,student,8.298004535147392,-356.5328,135.95857,15.44227,16.605612,-23.11632,5.4979343,-21.245092,-13.16842,-5.56284,-11.532409,-11.015884,-4.4639735,-9.787855,-1.7538267,1.1936537,-1.07696,1.1638849,-0.8270873,0.7146773,-0.3827634,0.059596986,-0.16343659,0.12613167,-0.00076924264,0.011654242,-0.0015674758,0.00046120028,-0.00043025098,0.0004416798,0.00014550968,-0.00054632255,-0.00012943766,0.0005126584,0.00125539,-0.0009140221,-0.00057530747,-7.219202e-05,0.00022146327,0
21,242s12,student,10.72798185941043,-377.673,133.06146,15.026591,10.641394,-11.6313715,-4.042838,-17.492525,-12.410287,-6.6743608,-11.932872,-8.933189,-3.7796056,-10.209541,-1.7875518,1.5145999,-1.250163,1.1919678,-1.1868689,0.99313456,-0.6810526,0.33911735,-0.3276751,0.37251365,-0.14962433,0.064575434,-0.0017134103,0.0003418342,0.001461417,0.0011509559,-0.00043840168,-0.000731556,0.0019879013,0.0026165564,-0.000529228,-4.62046e-05,-0.00113522,-0.00014251105,0.0017144304,0
22,242s41,student,44.79097505668934,-315.4141,126.17575,-3.4412735,22.613409,-13.980896,-4.0859423,-20.554852,-18.000387,-5.304337,-8.34253,-9.408008,-7.5740104,-7.527285,-1.7653645,0.9327343,0.12107205,-0.48090482,0.32503992,-0.11709917,0.19232896,-0.19155635,-0.20332646,0.52790385,-0.41628128,0.16538876,-0.00036231056,-0.00011897569,0.0005258394,0.0014771225,0.0038919796,1.4723597e-05,1.6632606e-05,-0.0034132008,-0.0014259466,0.002600247,-0.0004834889,-0.0031779034,0.0010163025,1
